,VLCC 315-320K DWT Newbuilding Prices,VLCC D / H 310K DWT 5 Year old Secondhand Prices,VLCC Scrap Value,UL / VLCC Orderbook,UL / VLCC Orderbook.1,UL / VLCC Orderbook.2,VLCC Fleet Growth,Aframax Tanker 113-115K DWT Newbuilding Prices,Aframax D / H 105K DWT 5 Year Old Secondhand Prices,Aframax Scrap Value,Aframax Tanker Orderbook,Aframax Tanker Orderbook.1,Aframax Tanker Orderbook.2,LIBOR Interest Rates,Suezmax Tanker 156-158K DWT Newbuilding Prices,Suezmax D / H 160K DWT 5 Year Old Secondhand Prices,Suezmax Scrap Value,Suezmax Orderbook,Suezmax Orderbook.1,Suezmax Orderbook.2,Suezmax Fleet Growth
190,97.0,77.0,19.97,92,4082731.49,28234796,1.01,54.0,42.0,7.74,112,2921927.3,12483277,0.0,65.5,57.0,10.47,58,1762263.24,9042795,0.23
191,97.0,77.0,19.12,84,3720462.78,25688232,2.32,54.0,42.0,7.47,105,2739725.0,11696357,0.0,65.0,57.0,9.97,61,1853959.65,9501777,-0.33
192,96.5,81.0,17.85,84,3720940.26,25699139,1.83,53.5,46.0,6.91,113,2948375.6,12581674,0.0,65.0,60.0,9.3,71,2159340.42,11079385,-0.13
193,96.5,81.0,15.93,88,3896770.3,26917371,1.65,53.5,45.0,6.18,114,2970929.04,12694907,0.0,65.0,59.0,8.24,76,2311527.68,11861299,0.28
194,96.5,81.0,16.14,97,4291712.36,29636005,1.67,53.5,45.0,6.36,124,3233384.24,13837836,0.0,65.0,57.5,8.33,81,2463738.16,12635277,0.28
195,96.5,81.0,16.99,98,4336574.47,29956005,1.48,53.5,45.0,6.69,124,3231861.69,13839259,0.0,65.0,57.5,8.76,82,2493225.89,12805744,0.7
196,96.0,80.0,15.72,98,4336173.94,29966746,1.93,53.0,45.0,6.04,126,3282858.75,14070928,0.0,64.5,59.0,8.11,81,2463132.47,12657231,1.32
197,95.5,80.0,15.53,104,4595454.37,31745537,1.91,53.0,45.0,6.11,136,3535062.03,15186947,0.0,64.5,59.0,8.27,85,2584662.9,13287011,1.54
198,95.5,84.0,13.43,115,5072728.18,35019481,1.9,53.0,46.0,5.28,144,3745376.85,16111141,0.0,64.5,61.0,7.15,91,2769347.93,14215920,1.54
199,95.5,84.0,12.8,115,5070109.46,34993827,2.39,53.0,46.0,5.12,159,4133970.03,17758933,0.01,64.5,61.0,6.81,96,2920962.09,15020036,1.74
200,95.5,80.0,12.8,122,5374840.82,37226796,2.22,53.0,45.0,5.03,157,4081602.22,17538935,0.01,64.5,61.0,6.81,96,2920962.09,15020036,1.73
201,95.0,80.0,13.01,124,5461693.91,37861811,3.02,52.25,46.0,5.2,161,4186401.14,18002544,0.01,63.5,60.0,6.93,103,3134128.38,16109178,1.73
202,95.0,80.0,12.59,124,5460408.16,37863098,3.33,52.0,46.0,5.03,169,4393388.5,18912489,0.01,63.5,60.0,6.7,107,3255619.15,16743979,1.52
203,93.5,80.0,12.17,123,5416915.37,37563198,2.63,52.0,46.0,5.03,180,4678563.36,20172578,0.01,63.0,60.0,6.48,111,3376931.47,17374221,1.88
204,93.5,80.0,10.49,132,5815177.09,40354535,3.11,51.5,45.0,4.21,184,4783053.1,20637691,0.01,62.5,59.0,5.59,116,3529277.94,18163595,2.09
205,93.5,76.0,9.85,126,5551777.72,38554629,4.04,51.0,40.0,3.96,181,4703914.32,20309940,0.01,62.0,57.0,5.25,112,3407275.59,17539603,1.65
206,92.0,76.0,10.48,125,5507259.13,38251631,4.3,50.0,40.0,4.13,177,4601538.58,19874469,0.01,61.0,53.5,5.59,114,3467678.71,17854642,1.65
207,91.5,75.0,12.79,122,5375749.43,37351596,4.77,50.0,40.0,4.95,170,4418070.4,19096591,0.01,61.0,52.5,6.81,115,3497881.97,18009176,1.65
208,90.0,72.0,11.73,119,5243663.52,36433756,4.9,50.0,39.0,4.54,171,4443325.68,19216126,0.01,60.0,52.5,6.25,115,3497881.97,18009176,1.02
209,88.0,64.0,11.1,114,5022237.4,34896540,5.51,48.0,37.0,4.37,165,4287454.67,18555895,0.01,58.0,50.0,5.92,108,3286457.29,16909676,1.64
210,86.0,64.0,11.1,112,4934882.34,34316894,5.78,46.75,35.0,4.37,161,4182236.27,18119104,0.01,56.75,46.5,5.92,107,3256207.49,16756564,2.26
211,86.0,62.0,11.31,115,5062660.6,35195283,5.6,46.0,33.0,4.45,157,4078952.01,17673979,0.01,56.0,45.0,6.03,106,3226566.27,16603841,2.68
212,85.0,62.0,12.36,116,5111432.21,35592748,6.35,45.0,32.5,4.87,150,3899559.3,16905151,0.01,55.0,44.0,6.59,100,3047140.05,15687434,3.1
